Datum,Petersgasse,DonBosco
01.02.06,87.04757,94.15161
01.03.06,57.72739,74.539566
01.04.06,51.23454,59.23669
01.05.06,36.10941,40.822475
01.06.06,33.262463,32.122677
01.07.06,33.93525,32.203285
01.08.06,36.02683,31.423115
01.09.06,23.935513,22.280344
01.10.06,39.253338,36.634777
01.11.06,38.60997,41.175434
01.12.06,40.46037,47.459316
01.01.07,52.62383,71.20078
01.02.07,49.22885,66.246506
01.03.07,39.34028,49.338467
01.04.07,36.558598,40.735397
01.05.07,38.168034,40.452774
01.06.07,29.057285,31.024847
01.07.07,24.243647,25.049593
01.08.07,25.496279,25.55224
01.09.07,22.454958,25.14375
01.10.07,24.257504,26.17952
01.11.07,35.110004,38.520405
01.12.07,33.757473,39.1939
01.01.08,57.163857,71.82181
01.02.08,63.00855,77.21843
01.03.08,48.498592,55.59201
01.04.08,25.328289,29.97531
01.05.08,25.11354,26.538637
01.06.08,27.521381,28.3578
01.07.08,25.97249,25.294537
01.08.08,22.417105,20.925247
01.09.08,20.918646,21.729612
01.10.08,24.233473,26.36098
01.11.08,33.69598,41.52123
01.12.08,35.015755,45.176792
01.01.09,33.130978,46.53702
01.02.09,60.45081,69.232376
01.03.09,31.731089,NA
01.04.09,23.30799,25.48535
01.05.09,32.182278,38.115555
01.06.09,21.700792,26.681717
01.07.09,16.063635,20.302233
01.08.09,18.3755,22.227232
01.09.09,20.421562,22.847132
01.10.09,28.63063,31.684671
01.11.09,27.347857,29.928082
01.12.09,39.560455,45.62232
01.01.10,38.61678,44.167187
01.02.10,56.94669,59.896694
01.03.10,60.855904,66.54335
01.04.10,34.53596,39.99761
01.05.10,27.473196,34.581505
01.06.10,18.001184,20.381119
01.07.10,20.278482,23.768625
01.08.10,22.1362,26.773088
01.09.10,20.025858,23.163002
01.10.10,25.090364,23.36357
01.11.10,44.78854,38.88984
01.12.10,48.143135,45.95609
01.01.11,41.806465,45.78661
01.02.11,53.965633,61.054855
01.03.11,70.99488,71.448814
01.04.11,47.540794,54.141075
01.05.11,29.26374,30.112085
01.06.11,28.610018,26.209417
01.07.11,19.469406,20.078325
01.08.11,18.149437,19.696663
01.09.11,23.322498,24.540037
01.10.11,24.492155,25.535894
01.11.11,31.153305,33.38357
01.12.11,52.071644,53.078846
01.01.12,38.52532,44.920326
01.02.12,45.692062,48.959072
01.03.12,54.48447,54.574043
01.04.12,36.238037,35.228336
01.05.12,24.72323,24.151478
01.06.12,20.713346,22.342905
01.07.12,22.899977,21.784033
01.08.12,25.040237,22.75636
01.09.12,21.917105,23.663136
01.10.12,21.560474,25.002563
01.11.12,26.842928,32.367
01.12.12,33.78034,42.47963
01.01.13,37.21189,45.95193
01.02.13,42.232258,50.180553
01.03.13,45.397358,44.745777
01.04.13,37.350163,37.696186
01.05.13,34.091984,37.77925
01.06.13,19.83628,19.788935
01.07.13,18.501352,20.32462
01.08.13,22.370777,25.583324
01.09.13,22.261814,23.29626
01.10.13,21.797188,21.69056
01.11.13,35.33082,33.388077
01.12.13,30.681332,28.954142
01.01.14,40.444645,41.300014
01.02.14,42.08456,42.82147
01.03.14,38.630814,36.95214
01.04.14,37.094353,34.36123
01.05.14,28.305098,26.116646
01.06.14,17.759594,16.952446
01.07.14,19.908556,19.869753
01.08.14,19.572374,20.168455
01.09.14,18.185986,17.0399
01.10.14,23.535181,21.424934
01.11.14,33.516235,29.562227
01.12.14,37.82482,33.396088
01.01.15,34.115643,35.96817
01.02.15,42.821564,40.603844
01.03.15,44.568012,43.42235
01.04.15,36.713444,34.11145
01.05.15,20.709759,21.278358
01.06.15,18.598104,19.417566
01.07.15,20.912882,22.265774
01.08.15,21.743748,22.760082
01.09.15,30.092419,26.006445
01.10.15,20.79874,18.162971
01.11.15,30.553534,27.144669
01.12.15,42.88574,41.1283
01.01.16,45.858562,46.91249
01.02.16,55.989883,54.567303
01.03.16,31.619997,28.45125
01.04.16,27.127218,25.877293
01.05.16,25.990988,27.426298